,,,Salary,Salary,Salary,Salary,Salary,Salary,,#NAME?
66,Jonathan Isaac,ORL,"$25,000,000 ","$15,000,000 ","$14,500,000 ","$14,500,000 ","$15,000,000 ",,"$69,000,000 ",isaacjo01
67,Jalen Brunson,NYK,"$24,960,001 ","$34,944,001 ","$37,739,521 ","$40,535,041 ","$43,330,561 ",,"$138,178,564 ",brunsja01
68,Terry Rozier,MIA,"$24,924,126 ","$26,643,031 ",,,,,"$51,567,157 ",roziete01
69,Kyle Kuzma,MIL,"$24,456,061 ","$22,410,605 ","$20,345,152 ",,,,"$67,211,818 ",kuzmaky01
70,Draymond Green,GSW,"$24,107,143 ","$25,892,857 ","$27,678,571 ",,,,"$77,678,571 ",greendr01
71,DeMar DeRozan,SAC,"$23,400,000 ","$24,570,000 ","$25,740,000 ",,,,"$47,970,000 ",derozde01
72,Mikal Bridges,NYK,"$23,300,000 ","$24,900,000 ",,,,,"$48,200,000 ",bridgmi01
73,Jaden McDaniels,MIN,"$23,017,242 ","$24,858,622 ","$26,700,001 ","$28,541,380 ","$30,382,755 ",,"$133,500,000 ",mcdanja02
74,Bruce Brown,NOP,"$23,000,000 ",,,,,,"$23,000,000 ",brownbr01
75,Brook Lopez,MIL,"$23,000,000 ",,,,,,"$23,000,000 ",lopezbr01
76,Aaron Gordon,DEN,"$22,841,455 ","$22,841,455 ","$31,978,037 ","$34,536,280 ","$37,094,523 ",,"$112,197,227 ",gordoaa01
77,Kentavious Caldwell-Pope,ORL,"$22,757,000 ","$21,621,500 ","$21,621,500 ",,,,"$44,378,500 ",caldwke01
78,Cameron Johnson,BRK,"$22,500,000 ","$20,543,478 ","$22,500,000 ",,,,"$65,543,478 ",johnsca02
79,Malcolm Brogdon,WAS,"$22,500,000 ",,,,,,"$22,500,000 ",brogdma01
80,Clint Capela,ATL,"$22,265,280 ",,,,,,"$22,265,280 ",capelca01
