Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48?,OBPM,DBPM,BPM,VORP,Awards,Player-additional
60,Herbert Jones,25,NOP,SF,76,76,2321,13.2,0.636,0.464,0.269,3.6,9.4,6.5,11.3,2.2,2.6,12.4,14.1,3.3,3,6.3,0.131,-0.9,1.5,0.6,1.6,DPOY-5,joneshe01
61,Walker Kessler,22,UTA,C,64,22,1493,18,0.663,0.054,0.266,12.3,23.1,17.7,5.6,1,9.2,14.4,12.8,2.4,1.7,4.1,0.131,-0.4,1.3,0.9,1.1,,kesslwa01
62,Franz Wagner,22,ORL,SF,72,72,2337,17.6,0.575,0.305,0.291,3.6,15.7,9.6,18.8,1.6,1.1,10,25.7,3.1,3.2,6.4,0.131,0.9,0.3,1.2,1.9,,wagnefr01
63,Jalen Duren,20,DET,C,61,60,1777,18.7,0.653,0.007,0.321,11.8,33,22.2,12.7,0.9,2.3,16.7,18.5,3,1.8,4.8,0.13,-0.2,0.1,-0.1,0.9,,durenja01
64,Anthony Edwards,22,MIN,SG,79,78,2770,19.7,0.575,0.341,0.325,2.2,14.8,8.8,24.6,1.8,1.3,11.9,32.3,2.9,4.7,7.5,0.13,2.7,0.5,3.3,3.7,MVP-7CPOY-8ASNBA2,edwaran01
65,Collin Sexton,25,UTA,SG,78,51,2075,19.9,0.607,0.313,0.356,3.8,7.1,5.4,29.5,1.4,0.8,12.1,27.5,5.2,0.3,5.5,0.127,3.8,-1.9,1.9,2,,sextoco01
66,Pascal Siakam,29,2TM,PF,80,80,2657,19.7,0.601,0.194,0.312,5.8,18.1,11.9,19.4,1.1,0.8,8.9,25.3,5.4,1.5,6.9,0.124,2.6,-0.7,1.9,2.7,,siakapa01
67,Jaylen Brown,27,BOS,SF,70,70,2343,18.6,0.58,0.326,0.239,4,13.4,8.9,16.6,1.8,1.4,10.7,28.9,2.7,3.2,5.9,0.121,0.9,-0.1,0.7,1.6,AS,brownja02
68,Tobias Harris,31,PHI,PF,70,70,2368,16.5,0.576,0.271,0.224,3.7,17.7,10.6,13.8,1.5,1.8,8.2,20.7,3.2,2.7,5.9,0.121,1,-0.1,0.9,1.7,,harrito02
69,Kyle Anderson,30,MIN,PF,79,10,1782,12.7,0.513,0.111,0.316,4,13,8.7,25,2,2.3,15.6,14.5,1.4,3.1,4.5,0.121,-1.6,2.7,1.1,1.4,,anderky01
